"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"24","230.84873319825118","119.6171321492539","5.100785844605598","-0.3054983979252499","0.243896484375","0.07568359375","0.412109375","1300","0.00018144245302284095","0","0.00018144245302284095","0.00018144245302284095","24_23:1;24_34:1","24_23:660;24_34:660","true"
"25","215.43562208361718","119.83237815137903","4.9452224893106935","-0.3084275156167526","0.46728515625","0.00244140625","0.93212890625","1300","0.00028188546836908327","0","0.00028188546836908327","0.00028188546836908327","25_24:1","25_24:660","true"
"26","257.4267808231306","212.63866272309852","4.8541335213041625","-0.30976922795032275","0.35107421875","0.17626953125","0.52587890625","1300","0.0003700763180577598","0","0.0003700763180577598","0.0003700763180577598","26_25:0.011480199416062986","26_25:660","true"
"27","326.91858935625186","202.52547398039093","4.747644796069844","-0.31027519414312993","0.341552734375","0.36572265625","0.3173828125","1300","0.0002533523230170887","0","0.0002533523230170887","0.0002533523230170887","27_26:0.007379348840539368","27_26:660","true"
"28","233.5303739726735","116.84713465892935","4.994356112888187","-0.3073714140177614","0.30517578125","0.01171875","0.5986328125","1300","0.00025273237106518935","0","0.00025273237106518935","0.00025273237106518935","28_27:0.008293902331363734;28_29:0.008615897120406724;28_35:0.007115334596323575","28_27:660;28_29:660;28_35:660","true"
"29","410.3649644919379","275.7409217514267","4.628644067846704","-0.3122408870668324","0.31201171875","0.4541015625","0.169921875","1300","0.00018011124865402667","0","0.00018011124865402667","0.00018011124865402667","","","true"
"30","299.4677886372152","65.91719016210824","4.73296402257627","-0.31090012417705765","0.2919921875","0.21337890625","0.37060546875","1300","0.00025347291120339705","0","0.00025347291120339705","0.00025347291120339705","30_29:0.006786269924166977;30_31:0.009285379873964938","30_29:660;30_31:660","true"
"31","241.20159284055998","41.70295992720501","4.79766693408324","-0.31025628620305007","0.30126953125","0.14404296875","0.45849609375","1300","0.0004478257888610722","0","0.0004478257888610722","0.0004478257888610722","31_32:0.004974124692429693","31_32:660","true"
"32","212.63560723886354","251.00740722995369","4.9103775830101055","-0.3078794303810588","0.2646484375","0.25634765625","0.27294921875","1300","0.00018392404422987245","0","0.00018392404422987245","0.00018392404422987245","32_36:0.00452150915612165","32_36:660","true"
"33","249.59170242141076","141.46581714723644","4.9731727688392695","-0.3075486854907048","0.334716796875","0.01611328125","0.6533203125","1300","0.00032445024829956136","0","0.00032445024829956136","0.00032445024829956136","33_39:0.01146464067308739","33_39:660","true"
"34","309.351472059932","124.38424607305018","4.678650055366279","-0.3124338462946453","0.226806640625","0.25732421875","0.1962890625","1300","0.000120986126706102","0","0.000120986126706102","0.000120986126706102","34_43:0.004036323528038288","34_43:660","true"
"35","321.62668559069306","149.2395284875202","4.907598555181926","-0.308301773576246","0.209228515625","0.068359375","0.35009765625","1300","0.000169386541325402","0","0.000169386541325402","0.000169386541325402","35_47:0.007252931367084714","35_47:660","true"
